date,AQI
2021-01-01,237.16813769082555
2021-01-02,180.6312661270108
2021-01-03,144.63773827227254
2021-01-04,94.61657643826761
2021-01-05,45.34587950727192
2021-01-06,36.06624949124949
2021-01-07,34.87512034854653
2021-01-08,31.95182847263
2021-01-09,28.4124724790841
2021-01-10,37.783739606953894
2021-01-11,190.0441249254621
2021-01-12,112.97140690264946
2021-01-13,173.5877779785296
2021-01-14,178.98239784498062
2021-01-15,123.06346153846154
2021-01-16,134.62539682539682
2021-01-17,151.5604846330018
2021-01-18,87.39846200522778
2021-01-19,162.34926046812515
2021-01-20,168.32191313386966
2021-01-21,199.9465571135784
2021-01-22,239.07775169426398
2021-01-23,237.309837157545
2021-01-24,164.13937589483274
2021-01-25,194.96398729032734
2021-01-26,204.42982441002633
2021-01-27,214.08589884165542
2021-01-28,227.5100926850927
2021-01-29,208.44010726212713
2021-01-30,193.67247692307694
2021-01-31,173.10391285015564
2021-02-01,243.70736890041525
2021-02-02,166.00010180781595
2021-02-03,139.99637307137306
2021-02-04,124.17538787232783
2021-02-05,54.078174254002064
2021-02-06,30.342020129403306
2021-02-07,35.94966611018364
2021-02-08,31.65122398459705
2021-02-09,25.026117886178863
2021-02-10,45.74469794344473
2021-02-11,191.6231920865175
2021-02-12,67.99277752639517
2021-02-13,142.12360643388868
2021-02-14,109.16203908637848
2021-02-15,80.88577435897436
2021-02-16,71.41842004864324
2021-02-17,98.5831468821214
2021-02-18,208.89526738096382
2021-02-19,84.9319001775867
2021-02-20,99.69645706022297
2021-02-21,108.13496019058367
2021-02-22,120.07908668657284
2021-02-23,173.69241892050113
2021-02-24,214.8774057892756
2021-02-25,160.7398958887331
2021-02-26,97.01025563136741
2021-02-27,92.45006629618797
2021-02-28,122.72821803746915
2021-03-01,229.3838516765286
2021-03-02,173.44525129342202
2021-03-03,150.30197954741467
2021-03-04,85.71254573548491
2021-03-05,75.3207894193015
2021-03-06,31.257534246575343
2021-03-07,34.03325917686318
2021-03-08,27.454539116081847
2021-03-09,24.087438478747202
2021-03-10,47.54473624374715
2021-03-11,157.4734026414421
2021-03-12,80.22137619727526
2021-03-13,139.1083971745591
2021-03-14,140.8514105501219
2021-03-15,134.8154306902453
2021-03-16,122.76593965428162
2021-03-17,145.01966421378185
2021-03-18,119.9323125636597
2021-03-19,119.220856542221
2021-03-20,129.74240806084845
2021-03-21,126.58748739998741
2021-03-22,115.78727968441815
2021-03-23,143.69387573335948
2021-03-24,175.57333318214805
2021-03-25,144.5016668160899
2021-03-26,156.33608817281512
2021-03-27,170.2348394251375
2021-03-28,144.86583322210853
2021-03-29,102.64273998470591
2021-03-30,46.2964623096202
2021-03-31,56.83114811631572
2021-04-01,236.76071643112334
2021-04-02,188.40284595149308
2021-04-03,177.47399257467043
2021-04-04,69.61392983710057
2021-04-05,59.32894506456555
2021-04-06,30.160418094585335
2021-04-07,36.84046212502095
2021-04-08,33.12713721564047
2021-04-09,25.97847001483365
2021-04-10,51.94039837845954
2021-04-11,159.9285167433841
2021-04-12,95.56189329616018
2021-04-13,77.17031031468531
2021-04-14,66.26092954664384
2021-04-15,63.011846374346376
2021-04-16,51.36736589908821
2021-04-17,42.31641647421093
2021-04-18,59.18177637987684
2021-04-19,57.686493352326686
2021-04-20,41.82885985572294
2021-04-21,41.16359953703704
2021-04-22,49.03022987957932
2021-04-23,51.346764346764346
2021-04-24,49.11764288656019
2021-04-25,54.547107520446836
2021-04-26,118.52014122198466
2021-04-27,130.26182352178984
2021-04-28,76.60304684562749
2021-04-29,50.600436974265335
2021-04-30,48.55220772007776
2021-05-01,238.8824606116775
2021-05-02,145.20093346560301
2021-05-03,172.84025764151815
2021-05-04,58.37959841419241
2021-05-05,55.13971586971587
2021-05-06,36.27706606380306
2021-05-07,41.46744676945668
2021-05-08,40.86073321809277
2021-05-09,33.02432737728486
2021-05-10,44.69883598354936
2021-05-11,172.59012649789443
2021-05-12,83.39166526857366
2021-05-13,40.32405316396142
2021-05-14,39.31504139593376
2021-05-15,96.93000165425971
2021-05-16,31.974838273347448
2021-05-17,27.79241899241899
2021-05-18,31.93713383838384
2021-05-19,29.37103117505995
2021-05-20,69.82317386971097
2021-05-21,63.32355599107191
2021-05-22,49.39300314465408
2021-05-23,42.78507712944333
2021-05-24,38.91333282187671
2021-05-25,41.88900948588448
2021-05-26,38.260646958011996
2021-05-27,37.825441501103754
2021-05-28,48.41576650300054
2021-05-29,54.82999499198718
2021-05-30,39.24390092108539
2021-05-31,41.5531172379533
2021-06-01,279.0553105825258
2021-06-02,139.3769917954271
2021-06-03,125.14207325607435
2021-06-04,82.43474005734944
2021-06-05,47.92837047040288
2021-06-06,29.649151627795433
2021-06-07,45.320013073549255
2021-06-08,41.45885759936089
2021-06-09,30.31824855252275
2021-06-10,48.40003852317554
2021-06-11,93.14167021696254
2021-06-12,129.2709302156177
2021-06-13,26.8762589809505
2021-06-14,40.61087192653303
2021-06-15,33.358309397720134
2021-06-16,28.876020719073736
2021-06-17,51.5550397067807
2021-06-18,63.4133897963299
2021-06-19,42.60073135558303
2021-06-20,89.0153696976079
2021-06-21,73.545188790121
2021-06-22,58.87613107924821
2021-06-23,57.96601151479055
2021-06-24,47.43269980276134
2021-06-25,33.59581992354532
2021-06-26,46.779947739150195
2021-06-27,33.778395061728396
2021-06-28,37.59199749301853
2021-06-29,33.023532079628104
2021-06-30,31.69562923138192
2021-07-01,274.97372184790066
2021-07-02,118.4671794871795
2021-07-03,102.96665819496215
2021-07-04,70.01456108761498
2021-07-05,49.215790555469916
